Document;Van E31 CIDOC:Document.	
Document.documenteert;Van P70 CIDOC:Document.documents. Enkel relevant als het InformatieObject vh type Document is.	
ZelfstandigeExpressie;Van F22 FRBR:SelfContainedExpression.	
Werk;Van F1 FRBR:Work.	
Werk.dimensie;Van P43 CIDOC:Thing.hasDimension.	
Werk.gaatOver;Van P129 CIDOC:PropositionalObject.isAbout.	
Werk.verwijstNaar;Van P67 CIDOC:PropositionalObject.refersTo.	
Werk:HeeftComponent;Van P148 CIDOC:PropositionalObject.hasComponent.	
Werk:AfgeleidVan;Van R2 FRBR:Work.isDerivativeOf.	
Werk:HeeftComponent;Van R10 FRBR:ComplexWork.hasMember.	
Opname;Van F26 FRBR:Recording.	
Conditie;Van E3 CIDOC:ConditionState. Associatie P5 CIDOC:ConditionState.consitsOf genegeerd + overgeërfde attributen van CIDOC:CRMEntity (uitgez nota &amp; type). We negeren ook: P114 CIDOC:TemporalEntity.isEqualInTimeTo &amp; P115 CIDOC:TemporalEntity.finishes.	
Conditie.periode;Van P4 CIDIC:ConditionState.hasTimeSpan. Datatype verandert van CIDOC:Timespan naar OSLO-Generiek:Periode.	
Conditie.nota;Van E1 CIDOC:CRMEntity.	
Taalobject;Van E33 CIDOC:LinguisticObject.	
Taalobject.taal;Van P72 CIDOC:LinguisticObject.hasLanguage. Enkelrelevant voor typeWerk "informatiebject-taalobject". Kardinaliteit 1.** als het werk een Taalobject is.	
Taalobject:IsVertalingvan;Van P73i CIDOC:LinguisticObject.isTranslationOf. Enkel relevant voor "informatieobject-Taalobject".	
ComplexWerk:HeeftComponent;Van R10 FRBR:ComplexWork.hasMember.	
OntwerpOfProcedure;Van E29 CIDOC:DesignOrProcedure.	
OntwerpOfProcedure:IsGeassocieerdMet;Van P73 CIDOC:DesignOrProcedeure.hasAssociationWith. Enkel relevant voor "informatieobject-ontwerpOfProcedure".	
InformatieObject;Van E73 CIDOC:InformationObject.	
InformatieObject.titel;Van P102 CIDOC:HumanMadeThing.hasTitle. Subproperty van P1 CIDOC:CRMEntity.isIdentified. Datatype verandert van CIDOC:Title naar OSLO-Generiek:Taalstring. Daardoor valt de relatie CIDOC:Appellation.hasAlternativeForm weg. De string vd Title mapt op CIDOC:SymbolicObject.hasSymbolicContent. Een CIDOC:Title is tevens een CIDOC:LinguisticObject en erft zo een attribuut hasLanguage over dat mapt op de taal vd taalstring.	
InformatieObject.vereistMateriaal;Van P68 CIDOC:DesignOrProcedure.foreseesUseOf. Enkel relevant voor "informatieobject-ontwerpOfProcedure".	
InformatieObject.gebruik;Van P103 CIDOC:ManmadeThing:wasIntendedFor.	
